PayrollID,EmployeeID,Date,GrossPay,Deductions,NetPay,ReferenceID,Description
PR1000,E1000,2024-04-11,94361.74,22981.54,71380.2,REF-6904,Payroll report for Andrew Davis for date 2024-04-11.
PR1001,E1000,2024-05-27,94361.74,28043.6,66318.14,REF-8167,Payroll report for Andrew Davis for date 2024-05-27.
PR1002,E1000,2024-04-04,94361.74,15871.08,78490.66,REF-1865,Payroll report for Andrew Davis for date 2024-04-04.
PR1003,E1001,2024-10-30,34017.59,3451.4,30566.19,REF-5917,Payroll report for Ellen Perez for date 2024-10-30.
PR1004,E1001,2024-08-04,34017.59,5999.38,28018.21,REF-7064,Payroll report for Ellen Perez for date 2024-08-04.
PR1005,E1001,2024-09-28,34017.59,9317.75,24699.84,REF-4367,Payroll report for Ellen Perez for date 2024-09-28.
PR1006,E1002,2024-05-28,78770.15,8453.56,70316.59,REF-4661,Payroll report for Alicia Finley for date 2024-05-28.
PR1007,E1002,2024-10-03,78770.15,18177.35,60592.8,REF-6023,Payroll report for Alicia Finley for date 2024-10-03.
PR1008,E1002,2024-01-16,78770.15,9752.23,69017.92,REF-6616,Payroll report for Alicia Finley for date 2024-01-16.
PR1009,E1003,2024-05-11,33977.19,7433.18,26544.01,REF-3491,Payroll report for Megan Sutton for date 2024-05-11.
PR1010,E1003,2024-07-11,33977.19,10190.67,23786.52,REF-8754,Payroll report for Megan Sutton for date 2024-07-11.
PR1011,E1003,2024-03-14,33977.19,9499.31,24477.88,REF-7533,Payroll report for Megan Sutton for date 2024-03-14.
PR1012,E1004,2024-06-06,79262.8,13011.21,66251.59,REF-4310,Payroll report for Dan Goodwin for date 2024-06-06.
PR1013,E1004,2024-01-09,79262.8,8528.95,70733.85,REF-8363,Payroll report for Dan Goodwin for date 2024-01-09.
PR1014,E1004,2024-06-27,79262.8,10022.02,69240.78,REF-0096,Payroll report for Dan Goodwin for date 2024-06-27.
PR1015,E1005,2024-09-21,38874.86,7803.28,31071.58,REF-4683,Payroll report for Tyler Moore for date 2024-09-21.
PR1016,E1005,2024-06-12,38874.86,6302.13,32572.73,REF-6475,Payroll report for Tyler Moore for date 2024-06-12.
PR1017,E1005,2024-10-11,38874.86,6856.26,32018.6,REF-0302,Payroll report for Tyler Moore for date 2024-10-11.
PR1018,E1006,2024-04-23,58908.58,9515.51,49393.07,REF-7954,Payroll report for Amanda Roberts for date 2024-04-23.
PR1019,E1006,2024-06-09,58908.58,6975.69,51932.89,REF-5396,Payroll report for Amanda Roberts for date 2024-06-09.
PR1020,E1006,2024-05-08,58908.58,11482.18,47426.4,REF-9590,Payroll report for Amanda Roberts for date 2024-05-08.
PR1021,E1007,2024-05-18,49823.58,11879.36,37944.22,REF-4470,Payroll report for Wanda Collins for date 2024-05-18.
PR1022,E1007,2024-06-13,49823.58,11681.07,38142.51,REF-2619,Payroll report for Wanda Collins for date 2024-06-13.
PR1023,E1007,2024-08-17,49823.58,6052.66,43770.92,REF-5956,Payroll report for Wanda Collins for date 2024-08-17.
PR1024,E1008,2024-05-08,40044.34,7249.16,32795.18,REF-6037,Payroll report for Amber Thompson for date 2024-05-08.
PR1025,E1008,2024-05-29,40044.34,6228.95,33815.39,REF-6781,Payroll report for Amber Thompson for date 2024-05-29.
PR1026,E1008,2024-07-06,40044.34,7028.21,33016.13,REF-1415,Payroll report for Amber Thompson for date 2024-07-06.
PR1027,E1009,2024-03-13,104222.39,24362.08,79860.31,REF-3491,Payroll report for Scott Gamble for date 2024-03-13.
PR1028,E1009,2024-09-19,104222.39,16714.13,87508.26,REF-3828,Payroll report for Scott Gamble for date 2024-09-19.
PR1029,E1009,2024-09-15,104222.39,10806.69,93415.7,REF-3292,Payroll report for Scott Gamble for date 2024-09-15.
PR1030,E1010,2024-06-25,79823.39,8733.34,71090.05,REF-9916,Payroll report for Laura Smith for date 2024-06-25.
PR1031,E1010,2024-07-28,79823.39,15930.64,63892.75,REF-0954,Payroll report for Laura Smith for date 2024-07-28.
PR1032,E1010,2024-05-31,79823.39,12681.22,67142.17,REF-8032,Payroll report for Laura Smith for date 2024-05-31.
PR1033,E1011,2024-03-14,83744.12,21736.33,62007.79,REF-2602,Payroll report for Rhonda Spears for date 2024-03-14.
PR1034,E1011,2024-09-22,83744.12,21735.88,62008.24,REF-6065,Payroll report for Rhonda Spears for date 2024-09-22.
PR1035,E1011,2024-08-11,83744.12,9406.31,74337.81,REF-5217,Payroll report for Rhonda Spears for date 2024-08-11.
PR1036,E1012,2024-03-30,66452.81,7603.83,58848.98,REF-4783,Payroll report for Anthony Carson for date 2024-03-30.
PR1037,E1012,2024-01-02,66452.81,6739.76,59713.05,REF-6926,Payroll report for Anthony Carson for date 2024-01-02.
PR1038,E1012,2024-08-16,66452.81,18545.75,47907.06,REF-9922,Payroll report for Anthony Carson for date 2024-08-16.
PR1039,E1013,2024-08-02,50859.71,11008.38,39851.33,REF-0357,Payroll report for Gary Mccullough for date 2024-08-02.
PR1040,E1013,2024-05-22,50859.71,5756.32,45103.39,REF-7318,Payroll report for Gary Mccullough for date 2024-05-22.
PR1041,E1013,2024-04-04,50859.71,15254.49,35605.22,REF-8757,Payroll report for Gary Mccullough for date 2024-04-04.
PR1042,E1014,2024-04-01,31608.74,4585.58,27023.16,REF-2027,Payroll report for Edward Williams for date 2024-04-01.
PR1043,E1014,2024-04-01,31608.74,3653.19,27955.55,REF-4394,Payroll report for Edward Williams for date 2024-04-01.
PR1044,E1014,2024-01-09,31608.74,8127.03,23481.71,REF-7001,Payroll report for Edward Williams for date 2024-01-09.
PR1045,E1015,2024-06-04,118791.32,13434.45,105356.87,REF-8399,Payroll report for Matthew Walker Jr. for date 2024-06-04.
PR1046,E1015,2024-03-14,118791.32,34106.75,84684.57,REF-1634,Payroll report for Matthew Walker Jr. for date 2024-03-14.
PR1047,E1015,2024-07-09,118791.32,27155.44,91635.88,REF-7866,Payroll report for Matthew Walker Jr. for date 2024-07-09.
PR1048,E1016,2024-01-13,111451.56,20718.12,90733.44,REF-8024,Payroll report for Mrs. Karen Hall for date 2024-01-13.
PR1049,E1016,2024-10-05,111451.56,12779.87,98671.69,REF-6065,Payroll report for Mrs. Karen Hall for date 2024-10-05.
PR1050,E1016,2024-04-24,111451.56,13794.38,97657.18,REF-5138,Payroll report for Mrs. Karen Hall for date 2024-04-24.
PR1051,E1017,2024-04-12,61624.17,9638.32,51985.85,REF-8949,Payroll report for Meghan Garcia for date 2024-04-12.
PR1052,E1017,2024-06-02,61624.17,12902.98,48721.19,REF-4222,Payroll report for Meghan Garcia for date 2024-06-02.
PR1053,E1017,2024-08-31,61624.17,10565.55,51058.62,REF-6304,Payroll report for Meghan Garcia for date 2024-08-31.
PR1054,E1018,2024-01-01,106808.36,19091.99,87716.37,REF-5707,Payroll report for Cassandra Lee for date 2024-01-01.
PR1055,E1018,2024-02-09,106808.36,20124.27,86684.09,REF-5250,Payroll report for Cassandra Lee for date 2024-02-09.
PR1056,E1018,2024-07-02,106808.36,22160.73,84647.63,REF-4189,Payroll report for Cassandra Lee for date 2024-07-02.
PR1057,E1019,2024-03-29,80560.53,11408.89,69151.64,REF-2572,Payroll report for Jonathan Davis for date 2024-03-29.
PR1058,E1019,2024-08-31,80560.53,24114.54,56445.99,REF-3305,Payroll report for Jonathan Davis for date 2024-08-31.
PR1059,E1019,2024-07-02,80560.53,10322.31,70238.22,REF-5640,Payroll report for Jonathan Davis for date 2024-07-02.
PR1060,E1020,2024-05-29,63778.54,17051.68,46726.86,REF-2688,Payroll report for Taylor Holland for date 2024-05-29.
PR1061,E1020,2024-03-30,63778.54,18913.46,44865.08,REF-2598,Payroll report for Taylor Holland for date 2024-03-30.
PR1062,E1020,2024-04-03,63778.54,18607.33,45171.21,REF-0837,Payroll report for Taylor Holland for date 2024-04-03.
